english	preferred_zh	en_count	en_files	en_forms	en_locations	zh_count	zh_files	zh_variants	zh_locations
critical path	关键路径	2	2	"{""critical paths"": 1, ""performance-critical path"": 1}"	docs/en/ch20.md:15; docs/en/ch21.md:5	20	2	"{""关键路径"": 19, ""性能关键路径"": 1}"	docs/ch20.md:38; docs/ch20.md:40; docs/ch20.md:44; docs/ch20.md:62; docs/ch20.md:64; docs/ch20.md:113; docs/ch20.md:115; docs/ch20.md:117; docs/ch20.md:144; docs/ch21.md:5
current term	当前任期	1	1	"{""current term"": 1}"	docs/en/ch18.md:15	1	1	"{""当前项"": 1}"	docs/ch18.md:152
strategic comments	有针对性的注释	1	1	"{""strategic comments"": 1}"	docs/en/ch18.md:17	1	1	"{""战略式注释"": 1}"	docs/ch18.md:154
design it twice	设计两次	8	3	"{""design it twice"": 2, ""design-it-twice"": 3, ""Designing it twice"": 1, ""designing it twice"": 1, ""Design it twice"": 1}"	docs/en/ch11.md:3; docs/en/ch11.md:19; docs/en/ch11.md:21; docs/en/ch11.md:23; docs/en/ch11.md:27; docs/en/ch21.md:13; docs/en/summary.md:18	8	3	"{""设计两次"": 7, ""两次设计"": 1}"	docs/ch11.md:3; docs/ch11.md:19; docs/ch11.md:21; docs/ch11.md:23; docs/ch11.md:27; docs/ch21.md:13; docs/summary.md:18
define errors out of existence	通过定义来规避错误	5	5	"{""Define errors out of existence"": 2, ""define errors out of existence"": 1, ""redefining semantics to eliminate error conditions"": 1, ""defining errors out of existence"": 1}"	docs/en/preface.md:11; docs/en/ch01.md:26; docs/en/ch10.md:25; docs/en/ch22.md:3; docs/en/summary.md:17	10	5	"{""通过定义来规避错误"": 9, ""重新定义语义以消除错误条件"": 1}"	docs/preface.md:11; docs/ch01.md:25; docs/ch10.md:70; docs/ch10.md:74; docs/ch10.md:88; docs/ch10.md:156; docs/ch10.md:164; docs/ch22.md:3; docs/summary.md:17
clean design	整洁的设计	3	2	"{""clean designs"": 1, ""clean design"": 2}"	docs/en/ch03.md:3; docs/en/ch20.md:3; docs/en/ch20.md:15	6	3	"{""整洁的设计"": 3, ""简洁的设计"": 3}"	docs/ch03.md:4; docs/ch03.md:26; docs/ch19.md:21; docs/ch19.md:31; docs/ch19.md:49; docs/ch20.md:144
Clean Code	代码整洁之道	3	2	"{""Clean Code"": 3}"	docs/en/ch09.md:37; docs/en/ch09.md:47; docs/en/ch12.md:28	3	2	"{""整洁代码之道"": 2, ""代码整洁之道"": 1}"	docs/ch09.md:197; docs/ch09.md:207; docs/ch12.md:60
code review	代码审查	5	4	"{""code reviews"": 5}"	docs/en/preface.md:9; docs/en/preface.md:13; docs/en/ch01.md:32; docs/en/ch17.md:15; docs/en/ch18.md:7	7	5	"{""代码审查"": 7}"	docs/preface.md:9; docs/preface.md:13; docs/ch01.md:31; docs/ch12.md:36; docs/ch17.md:35; docs/ch17.md:47; docs/ch18.md:7
unit test	单元测试	1	1	"{""unit testing"": 1}"	docs/en/ch15.md:4	16	2	"{""单元测试"": 16}"	docs/ch15.md:4; docs/ch19.md:25; docs/ch19.md:35; docs/ch19.md:39; docs/ch19.md:41; docs/ch19.md:45; docs/ch19.md:47; docs/ch19.md:51
test-driven development	测试驱动开发	0	0	{}		4	1	"{""测试驱动开发"": 4}"	docs/ch19.md:45; docs/ch19.md:47
design pattern	设计模式	1	1	"{""design patterns"": 1}"	docs/en/preface.md:3	25	5	"{""设计模式"": 25}"	docs/preface.md:3; docs/ch07.md:68; docs/ch10.md:126; docs/ch17.md:17; docs/ch17.md:43; docs/ch19.md:55; docs/ch19.md:57; docs/ch19.md:59; docs/ch19.md:63; docs/ch19.md:69
agile development	敏捷开发	2	2	"{""agile development"": 2}"	docs/en/preface.md:3; docs/en/ch01.md:18	8	3	"{""敏捷开发"": 8}"	docs/preface.md:3; docs/ch01.md:17; docs/ch19.md:25; docs/ch19.md:27; docs/ch19.md:29; docs/ch19.md:35
parameter/argument	参数	12	5	"{""argument"": 3, ""arguments"": 4, ""parameters"": 4, ""parameter"": 1}"	docs/en/ch06.md:35; docs/en/ch06.md:61; docs/en/ch06.md:93; docs/en/ch07.md:22; docs/en/ch07.md:24; docs/en/ch08.md:5; docs/en/ch08.md:7; docs/en/ch21.md:19; docs/en/ch21.md:23; docs/en/ch21.md:31; docs/en/summary.md:32	105	15	"{""参数"": 105}"	docs/ch02.md:49; docs/ch04.md:9; docs/ch04.md:21; docs/ch04.md:23; docs/ch04.md:59; docs/ch05.md:55; docs/ch05.md:69; docs/ch05.md:71; docs/ch05.md:73; docs/ch05.md:81; docs/ch05.md:83; docs/ch05.md:91; docs/ch05.md:95; docs/ch05.md:111; docs/ch06.md:33; docs/ch06.md:59; docs/ch06.md:91; docs/ch07.md:42; docs/ch07.md:60; docs/ch07.md:89; docs/ch07.md:103; docs/ch07.md:111; docs/ch07.md:113; docs/ch08.md:5; docs/ch08.md:7; docs/ch08.md:17; docs/ch08.md:19; docs/ch08.md:21; docs/ch08.md:23; docs/ch09.md:33; docs/ch10.md:11; docs/ch10.md:108; docs/ch10.md:114; docs/ch10.md:116; docs/ch10.md:122; docs/ch10.md:124; docs/ch12.md:24; docs/ch13.md:19; docs/ch13.md:88; docs/ch13.md:108; docs/ch13.md:257; docs/ch13.md:306; docs/ch13.md:352; docs/ch14.md:89; docs/ch17.md:19; docs/ch18.md:15; docs/ch18.md:32; docs/ch21.md:19; docs/ch21.md:23; docs/ch21.md:31; docs/summary.md:32
GUI/text editor	图形界面／文本编辑器	7	3	"{""GUI"": 2, ""GUI text editor"": 2, ""text editor"": 3}"	docs/en/preface.md:13; docs/en/ch06.md:21; docs/en/ch06.md:81; docs/en/ch06.md:97; docs/en/ch06.md:109; docs/en/ch06.md:155; docs/en/ch11.md:5	18	7	"{""图像界面"": 5, ""图形界面"": 4, ""文本编辑器"": 9}"	docs/preface.md:13; docs/ch06.md:21; docs/ch06.md:79; docs/ch06.md:95; docs/ch06.md:107; docs/ch06.md:153; docs/ch07.md:12; docs/ch07.md:83; docs/ch08.md:11; docs/ch09.md:105; docs/ch09.md:115; docs/ch11.md:5; docs/ch14.md:40
dispatcher	分发器	0	0	{}		8	2	"{""分发器"": 6, ""调度方法"": 1, ""分派器"": 1}"	docs/ch07.md:60; docs/ch07.md:62; docs/ch07.md:64; docs/ch10.md:116; docs/ch10.md:120
technical debt	技术债	0	0	{}		2	1	"{""技术债"": 1, ""技术债务"": 1}"	docs/ch03.md:40
strategic/tactical programming	战略式编程／战术式编程	5	1	"{""strategic approach"": 3, ""tactical approach"": 2}"	docs/en/ch03.md:3; docs/en/ch03.md:17	41	3	"{""战略式编程"": 7, ""战术式编程"": 21, ""战术式方法"": 6, ""战略式方法"": 7}"	docs/ch03.md:2; docs/ch03.md:8; docs/ch03.md:10; docs/ch03.md:12; docs/ch03.md:16; docs/ch03.md:18; docs/ch03.md:22; docs/ch03.md:24; docs/ch03.md:28; docs/ch03.md:32; docs/ch03.md:36; docs/ch03.md:38; docs/ch03.md:40; docs/ch03.md:42; docs/ch03.md:46; docs/ch03.md:48; docs/ch03.md:52; docs/ch03.md:54; docs/ch03.md:56; docs/ch03.md:58; docs/ch03.md:66; docs/ch16.md:7; docs/ch19.md:47
common case	常见情况	1	1	"{""common-case"": 1}"	docs/en/ch06.md:5	4	3	"{""常见情况"": 4}"	docs/ch04.md:115; docs/ch04.md:117; docs/ch05.md:97; docs/ch20.md:117
normal case	正常情况	2	2	"{""normal case"": 1, ""normal cases"": 1}"	docs/en/ch06.md:153; docs/en/ch10.md:3	6	4	"{""正常情况"": 6}"	docs/ch05.md:97; docs/ch06.md:151; docs/ch10.md:3; docs/ch10.md:18; docs/ch10.md:52; docs/ch20.md:44
centrality	核心地位	1	1	"{""centrality"": 1}"	docs/en/ch21.md:23	1	1	"{""中心化"": 1}"	docs/ch21.md:23
by a factor of 2	达到原来的两倍	1	1	"{""by a factor of 2"": 1}"	docs/en/ch20.md:15	1	1	"{""提高两倍"": 1}"	docs/ch20.md:144
single instance	只出现一处	1	1	"{""single instance"": 1}"	docs/en/ch09.md:10	1	1	"{""单例代码"": 1}"	docs/ch09.md:10
allocation	分配／分配的内存区域	0	0	{}		30	5	"{""分配"": 29, ""分配器"": 1}"	docs/ch02.md:31; docs/ch07.md:48; docs/ch07.md:52; docs/ch10.md:142; docs/ch10.md:148; docs/ch16.md:17; docs/ch20.md:13; docs/ch20.md:20; docs/ch20.md:50; docs/ch20.md:56; docs/ch20.md:62; docs/ch20.md:64; docs/ch20.md:111; docs/ch20.md:113; docs/ch20.md:115; docs/ch20.md:117; docs/ch20.md:136
internal representation	内部表示	0	0	{}		2	1	"{""内部实现"": 2}"	docs/ch05.md:81; docs/ch05.md:91
partial information hiding	部分信息隐藏	0	0	{}		2	1	"{""隐藏部分信息"": 2}"	docs/ch05.md:25; docs/ch05.md:97
classitis	多类症	0	0	{}		5	1	"{""多类症"": 5}"	docs/ch04.md:99; docs/ch04.md:103
secondary exceptions	后续异常	0	0	{}		1	1	"{""次要异常"": 1}"	docs/ch10.md:20
instrumentation	诊断插桩／诊断跟踪代码	0	0	{}		1	1	"{""诊断信息"": 1}"	docs/ch10.md:140
factoring	拆分方式	0	0	{}		52	13	"{""提取"": 23, ""拆分"": 29}"	docs/preface.md:15; docs/ch04.md:13; docs/ch05.md:31; docs/ch06.md:113; docs/ch06.md:155; docs/ch07.md:83; docs/ch07.md:85; docs/ch08.md:11; docs/ch08.md:13; docs/ch09.md:23; docs/ch09.md:33; docs/ch09.md:121; docs/ch09.md:171; docs/ch09.md:173; docs/ch09.md:179; docs/ch09.md:183; docs/ch09.md:185; docs/ch09.md:187; docs/ch09.md:197; docs/ch09.md:205; docs/ch10.md:84; docs/ch10.md:108; docs/ch10.md:122; docs/ch10.md:124; docs/ch11.md:9; docs/ch12.md:24; docs/ch12.md:68; docs/ch13.md:88; docs/ch13.md:289; docs/ch13.md:291; docs/ch13.md:433; docs/ch16.md:25; docs/ch20.md:14
common name	统一约定的名称	0	0	{}		5	2	"{""通用名称"": 5}"	docs/ch14.md:73; docs/ch14.md:101; docs/ch14.md:103; docs/ch18.md:123
interface inheritance	接口继承	0	0	{}		2	1	"{""接口继承"": 2}"	docs/ch19.md:9; docs/ch19.md:11
implementation inheritance	实现继承	0	0	{}		8	1	"{""实现继承"": 8}"	docs/ch19.md:13; docs/ch19.md:15; docs/ch19.md:17; docs/ch19.md:19
